['2nsq', '2dmh', '2Fk9', '2ep6', '2cm5', '2d8k', '2uzp', '1rh8', '1dsy', '1ugk', '2chd', '1w15', '3rpb', '2zkm', '1e8y', '1rlw', '1a25', '1rsy', '1tjx', '100D', '1DCO', '1GT8', '1KBN', '1NWA', '1REY', '1UY6', '1YJT', '2BYA', '2FGQ', '2J6L', '2MNY', '2QG4', '2WPN', '3A5L', '3DM6', '3H07', '3KV3', '3O8Y', '3RO8', '3V4F', '4AQT', '4E5T', '4HLU', '4L0R', '4OFC', '4RUM', '4XM7', '5BQ3', '5FV0']
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
(49, 118)
100D no
101D no
101M no
102D no
102L no
102M no
103D no
103L no
103M no
104D no
104L yes
104M no
105D no
105M no
106D no
106M no
107D no
107L no
107M no
108D no
108L no
108M no
109D no
109L no
109M no
10GS no
10MH no
110D no
110L no
110M no
111D no
111L no
111M no
112D no
112L no
112M no
113D no
113L no
114D no
114L no
115D no
115L no
116D no
117D no
117E no
118D no
118L no
119D no
119L no
11AS no
11BA no
11BG no
11GS no
120L yes
121D no
121P no
122D no
122L no
123D no
123L no
124D no
125L no
126D no
126L no
127D no
127L no
128D no
128L no
129D no
129L no
12AS no
12CA no
12E8 no
12GS no
130D no
130L no
131D no
131L no
132D no
132L no
133D no
133L no
134D no
134L no
135D no
135L no
136D no
137D no
137L no
138D no
138L no
139D no
139L no
13GS no
13PK no
140D no
140L no
141D no
141L no
142D no
142L no
143D no
143L no
144D no
144L yes
145D no
145L no
146D no
146L yes
147L no
148D no
148L no
149D no
149L no
14GS no
150D no
150L no
151D no
151L yes
152D no
152L no
153D no
153L no
154D no
154L no
155C yes
155L no
156D no
156L no
157D no
157L no
158D no
158L no
159D no
159L no
15C8 no
160D no
160L no
161D no
161L no
162L no
163L no
164L no
165D no
165L no
166D no
166L no
167D no
167L no
168D no
168L yes
169D no
169L yes
16GS no
16PK no
16VP yes
170D no
170L no
171D no
171L yes
172D no
172L no
173D no
173L yes
174L no
175D no
175L no
176D no
176L no
177D no
177L no
178D no
178L no
179D no
17GS no
17RA no
180D no
180L no
181D no
181L no
182D no
182L no
183D no
183L no
184D no
184L no
185D no
185L no
186D no
186L no
187D no
187L no
188D no
188L no
189D no
189L no
18GS no
190D no
190L no
1914 no
191D no
191L yes
192D no
192L yes
193D no
193L no
194D no
194L no
195D no
195L yes
196D no
196L no
197D no
197L no
198D no
198L no
199D no
199L no
